    0.0000000000E+00    0.1820573397E-01   -0.1091465936E-02                 0.0    0.6760707498E+00    0.2099137194E-01                 0.0    0.2967488952E-01                 0.0    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.2181917580E-05    0.0000000000E+00   -0.1319036414E-05    0.7689013146E-03    0.1261232886E-02    0.7063127896E-06                 0.0    0.2112977803E+00    0.2021229228E-07    0.0000000000E+00   -0.6189689157E-03   -0.5431084428E-03                 0.0   -0.1234057508E-19                 0.0                 0.0    0.2311850786E+00                 0.0                 0.0                 0.0
    0.3641146794E-01    0.5441839248E-01   -0.4354263656E-02    0.4397797378E-16    0.6732663512E+00    0.2123371512E-01    0.2170279995E-01    0.2926125005E-01    0.2922326348E-04   -0.1461179090E-04    0.0000000000E+00    0.0000000000E+00    0.2133993348E-05    0.0000000000E+00    0.0000000000E+00    0.7109066355E-03    0.1276168157E-02    0.7836102327E-06    0.8018807307E-06    0.2077669203E+00   -0.4861993148E-05   -0.1560947021E-04   -0.1079137292E-04    0.1265997798E-04    0.7745036483E-01    0.2034845566E-18   -0.1646356136E+00    0.1484103501E+00    0.7253822684E-01    0.8959469199E-01                 0.0                 0.0
    0.7242531329E-01    0.9022650868E-01   -0.7870655507E-02    0.2210549859E-16    0.6719720960E+00    0.2176829800E-01    0.2198113687E-01    0.2962614037E-01    0.7344836195E-04   -0.6819657756E-05    0.0000000000E+00    0.0000000000E+00    0.2122137175E-05    0.0000000000E+00    0.0000000000E+00    0.6484916667E-03    0.1304452308E-02    0.1003690045E-05    0.8363398933E-06    0.2062365711E+00   -0.8618361790E-05   -0.1016353053E-04   -0.1830744732E-03   -0.1629505568E-03    0.3614395857E-01    0.2775661156E-18   -0.1824579090E+00    0.9170087427E-01    0.7396876067E-01    0.9647917747E-01                 0.0                 0.0
    0.1080276966E+00    0.1256159246E+00   -0.1110128779E-01    0.1481900519E-16    0.6697661877E+00    0.2226320654E-01    0.2228385024E-01    0.3045648150E-01    0.1066006516E-03   -0.1176083606E-04    0.0000000000E+00    0.0000000000E+00    0.2137858701E-05    0.0000000000E+00    0.0000000000E+00    0.5753602018E-03    0.1344179851E-02    0.1292870934E-05    0.8828023965E-06    0.2036853582E+00   -0.9388665603E-05   -0.1021460321E-04   -0.1528556313E-03   -0.1308521896E-03    0.6232424080E-01    0.3986434757E-19   -0.1790082753E+00    0.9394189715E-01    0.7948408276E-01    0.9629104286E-01                 0.0                 0.0
    0.1432041526E+00    0.1605718285E+00   -0.1416538935E-01    0.1117348623E-16    0.6670089364E+00    0.2281478606E-01    0.2257572301E-01    0.3142783046E-01    0.1414299331E-03   -0.1488263842E-04    0.0000000000E+00    0.0000000000E+00    0.2181619948E-05    0.0000000000E+00    0.0000000000E+00    0.4887073301E-03    0.1393838204E-02    0.1677623914E-05    0.9296119288E-06    0.2005271018E+00   -0.1093795072E-04   -0.1052137213E-04   -0.1672860089E-03   -0.1441936765E-03    0.7886490226E-01   -0.6472195604E-18   -0.1758082509E+00    0.9829008579E-01    0.8595198393E-01    0.9953679144E-01                 0.0                 0.0
    0.1779395193E+00    0.1950787455E+00   -0.1696957648E-01    0.8983159946E-17    0.6635828018E+00    0.2338524722E-01    0.2288553491E-01    0.3258980066E-01    0.1751733362E-03   -0.1873364999E-04    0.0000000000E+00    0.0000000000E+00    0.2258036830E-05    0.0000000000E+00    0.0000000000E+00    0.3878205316E-03    0.1451768563E-02    0.2133324642E-05    0.9818020317E-06    0.1966575831E+00   -0.1226675340E-04   -0.1110021913E-04   -0.1599887619E-03   -0.1347081561E-03    0.9930636734E-01    0.3548303682E-18   -0.1686992943E+00    0.1061491743E+00    0.9306528419E-01    0.1034346148E+00                 0.0                 0.0
    0.2122179866E+00    0.2291205078E+00   -0.1950183325E-01    0.7534567343E-17    0.6595954895E+00    0.2399859950E-01    0.2321121842E-01    0.3388677165E-01    0.2089751652E-03   -0.2210000275E-04    0.0000000000E+00    0.0000000000E+00    0.2372400104E-05    0.0000000000E+00    0.0000000000E+00    0.2734389273E-03    0.1515793963E-02    0.2672992196E-05    0.1038515165E-05    0.1922255009E+00   -0.1378010984E-04   -0.1183219229E-04   -0.1583848207E-03   -0.1307829662E-03    0.1171045229E+00   -0.3976172936E-18   -0.1602737457E+00    0.1154216826E+00    0.1013511568E+00    0.1087950841E+00                 0.0                 0.0
    0.2460230440E+00    0.2626802623E+00   -0.2174439467E-01    0.6501470870E-17    0.6550976038E+00    0.2467109077E-01    0.2354722656E-01    0.3526205570E-01    0.2424474515E-03   -0.2528795994E-04    0.0000000000E+00    0.0000000000E+00    0.2530572601E-05    0.0000000000E+00    0.0000000000E+00    0.1468935370E-03    0.1583980746E-02    0.3293473583E-05    0.1099242013E-05    0.1873133779E+00   -0.1543775761E-04   -0.1267159678E-04   -0.1548767759E-03   -0.1245912717E-03    0.1340513527E+00   -0.1266082646E-19   -0.1506165117E+00    0.1259084940E+00    0.1106589660E+00    0.1152709275E+00                 0.0                 0.0
    0.2793374658E+00    0.2957404256E+00   -0.2369485050E-01    0.5728207958E-17    0.6501520872E+00    0.2540699765E-01    0.2389097773E-01    0.3669141978E-01    0.2756502945E-03   -0.2822479473E-04    0.0000000000E+00    0.0000000000E+00    0.2738492640E-05    0.0000000000E+00    0.0000000000E+00    0.9597673852E-05    0.1654811320E-02    0.3984949672E-05    0.1163599791E-05    0.1820219457E+00   -0.1726812479E-04   -0.1360251372E-04   -0.1555534982E-03   -0.1223823056E-03    0.1496068388E+00    0.6058299758E-18   -0.1403034627E+00    0.1378861666E+00    0.1210710853E+00    0.1225939766E+00                 0.0                 0.0
    0.3121433556E+00    0.3282827139E+00   -0.2536322363E-01    0.5126227267E-17    0.6447864175E+00    0.2619583532E-01    0.2424495481E-01    0.3819260001E-01    0.3083536576E-03   -0.3110999751E-04    0.0000000000E+00    0.0000000000E+00    0.3001865707E-05    0.0000000000E+00    0.0000000000E+00   -0.1370708778E-03    0.1727158786E-02    0.4739582437E-05    0.1231786996E-05    0.1764134765E+00   -0.1930083999E-04   -0.1465816422E-04   -0.1580944081E-03   -0.1215174270E-03    0.1648617536E+00   -0.1046824466E-18   -0.1298297048E+00    0.1520934701E+00    0.1326879114E+00    0.1312967539E+00                 0.0                 0.0
