1.0000000000e+00 4.9529303000e+02 0.0000000000e+00 0.0000000000e+00 5.8509646281e-03
9.8309157975e-01 4.8691840730e+02 4.8219632092e-05 4.0765890186e-07 5.8509636957e-03
9.6624042466e-01 4.7857214764e+02 1.1360925482e-04 1.9177000988e-06 5.8509540388e-03
9.4944728166e-01 4.7025462096e+02 1.6499463067e-04 4.1704635458e-06 5.8509170175e-03
9.3271292001e-01 4.6196620827e+02 2.2009563527e-04 7.4047963081e-06 5.8508220901e-03
9.1603815556e-01 4.5370731366e+02 2.7365725582e-04 1.1488383972e-05 5.8506269509e-03
8.9942383020e-01 4.4547835411e+02 3.2790842427e-04 1.6489886679e-05 5.8502783059e-03
8.8287082310e-01 4.3727976507e+02 3.8186305363e-04 2.2363652580e-05 5.8497118056e-03
8.6638003590e-01 4.2911199311e+02 4.3592366877e-04 2.9124052486e-05 5.8488528346e-03
8.4995245930e-01 4.2097552892e+02 4.8976398946e-04 3.6743941071e-05 5.8476168379e-03
8.3358904720e-01 4.1287084496e+02 5.4344896932e-04 4.5217930391e-05 5.8459100558e-03
8.1729088720e-01 4.0479847991e+02 5.9684468503e-04 5.4524481440e-05 5.8436300243e-03
8.0105905230e-01 3.9675896522e+02 6.5003227026e-04 6.4659017941e-05 5.8406660333e-03
7.8489467500e-01 3.8875286181e+02 7.0310415040e-04 7.5620723390e-05 5.8368991196e-03
7.6879896220e-01 3.8078076745e+02 7.5612498712e-04 8.7408440864e-05 5.8322023465e-03
7.5277315080e-01 3.7284329476e+02 8.0903896548e-04 1.0000807716e-04 5.8264415668e-03
7.3681858180e-01 3.6494110794e+02 8.6173718851e-04 1.1339660769e-04 5.8194766237e-03
7.2093656660e-01 3.5707485651e+02 9.1418642385e-04 1.2755800110e-04 5.8111619881e-03
7.0512861010e-01 3.4924528584e+02 9.6645919083e-04 1.4249058244e-04 5.8013467432e-03
6.8939614300e-01 3.4145310454e+02 1.0185163193e-03 1.5817754859e-04 5.7898750117e-03
6.7374080420e-01 3.3369912435e+02 1.0703632222e-03 1.7460792205e-04 5.7765870110e-03
6.5816420320e-01 3.2598414244e+02 1.1220771918e-03 1.9178307546e-04 5.7613187319e-03
6.4266812800e-01 3.1830904440e+02 1.1736633502e-03 2.0969366102e-04 5.7439025629e-03
6.2725433710e-01 3.1067470120e+02 1.2250581401e-03 2.2831755427e-04 5.7241686432e-03
6.1192479730e-01 3.0308208699e+02 1.2761947461e-03 2.4762976738e-04 5.7019465315e-03
5.9668144580e-01 2.9553216124e+02 1.3270110085e-03 2.6760408068e-04 5.6770658865e-03
5.8152648810e-01 2.8802601632e+02 1.3775263667e-03 2.8822914821e-04 5.6493570522e-03
5.6646203990e-01 2.8056470012e+02 1.4277616571e-03 3.0949443816e-04 5.6186504220e-03
5.5149048570e-01 2.7314939368e+02 1.4776074595e-03 3.3136050199e-04 5.5847792659e-03
5.3661423920e-01 2.6578129247e+02 1.5270150015e-03 3.5379850410e-04 5.5475810893e-03
5.2183589340e-01 2.5846168080e+02 1.5760345686e-03 3.7680158072e-04 5.5068971096e-03
5.0715810060e-01 2.5119187234e+02 1.6247099297e-03 4.0036256386e-04 5.4625715330e-03
4.9258375170e-01 2.4397329891e+02 1.6730474862e-03 4.2446573933e-04 5.4144532988e-03
4.7811579700e-01 2.3680742179e+02 1.7210006770e-03 4.4908153334e-04 5.3623976706e-03
4.6375733610e-01 2.2969577618e+02 1.7685030351e-03 4.7417338932e-04 5.3062686597e-03
4.4951170680e-01 2.2264001528e+02 1.8155558410e-03 4.9972111807e-04 5.2459398297e-03
4.3538230660e-01 2.1564182184e+02 1.8622406945e-03 5.2572702275e-04 5.1812921263e-03
4.2137283090e-01 2.0870302618e+02 1.9084970647e-03 5.5215412688e-04 5.1122168756e-03
4.0748709440e-01 2.0182551767e+02 1.9542850254e-03 5.7896954937e-04 5.0386182165e-03
3.9372903110e-01 1.9501124481e+02 1.9996334450e-03 6.0615985307e-04 4.9604125363e-03
3.8010287280e-01 1.8826230358e+02 2.0445057723e-03 6.3369162740e-04 4.8775305301e-03
3.6661297080e-01 1.8158084914e+02 2.0888349587e-03 6.6152048448e-04 4.7899193240e-03
3.5326409340e-01 1.7496924321e+02 2.1325942315e-03 6.8961263185e-04 4.6975455468e-03
3.4006094930e-01 1.6842981796e+02 2.1758564592e-03 7.1796632308e-04 4.6003903415e-03
3.2700866460e-01 1.6196511233e+02 2.2185762448e-03 7.4654129483e-04 4.4984541034e-03
3.1411248450e-01 1.5557772421e+02 2.2605808441e-03 7.7525208939e-04 4.3917612660e-03
3.0137807130e-01 1.4927045811e+02 2.3018581518e-03 8.0406429079e-04 4.2803634031e-03
2.8881114720e-01 1.4304614819e+02 2.3424039768e-03 8.3294579853e-04 4.1643336250e-03
2.7641773220e-01 1.3690777613e+02 2.3822027216e-03 8.6185982383e-04 4.0437696656e-03
2.6420426370e-01 1.3085853031e+02 2.4213386619e-03 8.9080533180e-04 3.9187939079e-03
2.5217717890e-01 1.2490159903e+02 2.4597198392e-03 9.1971731463e-04 3.7895521669e-03
2.4034339190e-01 1.1904040681e+02 2.4971939966e-03 9.4850496062e-04 3.6562257493e-03
2.2870993610e-01 1.1327843724e+02 2.5338160773e-03 9.7715358207e-04 3.5190247819e-03
2.1728420260e-01 1.0761935108e+02 2.5696314787e-03 1.0056455759e-03 3.3781862980e-03
2.0607370140e-01 1.0206686797e+02 2.6044520917e-03 1.0338715045e-03 3.2339786746e-03
1.9508636000e-01 9.6624914356e+01 2.6380644318e-03 1.0617070222e-03 3.0867131192e-03
