 6.46646845287176e-003    1.59996168018695e+000
 1.38077919234151e-001    1.57547805677491e+000
 2.58114733625978e-001    1.52735932009703e+000
 3.91960366364784e-001    1.43767727190302e+000
 5.09619299500132e-001    1.33031336711407e+000
 6.22631955302675e-001    1.19927329211672e+000
 8.02420306763789e-001    8.95985657441400e-001
 8.48482774901891e-001    7.86083065037618e-001
 9.03711205466048e-001    6.13903933597238e-001
 9.40477697526661e-001    4.53686058088731e-001
 9.99996578588120e-001   -2.96294268792960e-003
