 4.99128529757078e-001    1.71286265871047e+000
 4.20932231084859e-001    1.67743497258500e+000
 3.42814606809572e-001    1.57765162977039e+000
 2.79415146636972e-001    1.43841005095680e+000
 2.35551144409882e-001    1.31916387271693e+000
 2.11186288868178e-001    1.24961570583038e+000
 8.46173398370835e-002    7.83016013265714e-001
 6.03251068156235e-002    6.54062624819957e-001
 3.60933925610332e-002    4.75604885074862e-001
 1.91602415909173e-002    3.26922378629613e-001
 1.43308439947228e-002    2.77369612316779e-001
 0.00000000000000e+000    0.00000000000000e+000
