 9.33877418437989e-004    1.33694703290903e+000
 1.10811661286721e-001    1.32372048642833e+000
 2.40437907302515e-001    1.28908581521408e+000
 3.78550256816290e-001    1.22931766043405e+000
 5.02583389162962e-001    1.16579369429726e+000
 6.18171021377672e-001    1.09857482185273e+000
 8.07098483464279e-001    9.60076740361776e-001
 8.83265322695251e-001    8.81620886371480e-001
 9.14342123962076e-001    8.17091986925716e-001
 9.45495056540187e-001    6.98509856467101e-001
 9.56863999025519e-001    6.26560691881357e-001
